r,theta,phi
6888.87124,147.05345599999998,124.95167269999999
6889.07103,150.8336051,125.2628986
6889.24845,154.6102753,125.72490479999999
6889.405,158.3819497,126.41694179999999
6889.54196,162.1457941,127.4846381
6889.66054,165.89590629999998,129.2273004
6889.7617199999995,169.61781789999998,132.36904959999998
6889.84617,173.2651396,139.1809839
6889.9142,176.5902879,160.80300979999998
6889.96588,177.4329619,-122.16518269999999
6890.000980000001,174.5002298,-85.163338
6890.0190600000005,170.9115526,-75.53104859999999
6890.01936,167.2074566,-71.5211678
6890.0008,163.4652036,-69.40862229999999
6889.96196,159.70574499999998,-68.15086819999999
6889.90126,155.93698460000002,-67.3487239
6889.817,152.16253369999998,-66.8174092
6889.70736,148.3842598,-66.4598355
6869.886820000001,8.091816500000007,-56.008186599999995
6869.73183,4.5577571000000034,-42.745067399999996
6869.649060000001,2.2588359000000082,13.575914
6869.63911,4.2972924000000035,75.5851409
6869.7019199999995,7.801720099999997,90.22533179999999
6869.836770000001,11.502265300000005,95.51591959999999
6870.042270000001,15.256829199999999,98.1203122
6870.316350000001,19.033397100000002,99.61479949999999
6870.65625,22.8209607,100.5479567
6871.058660000001,26.614729000000004,101.1589444
6871.5197800000005,30.412275800000003,101.5683619
6872.03531,34.212233000000005,101.84354739999999
6872.60045,38.013763100000006,102.0250525
6873.21002,41.816317500000004,102.13877
6873.85859,45.6195169,102.202029
6874.5406,49.4230863,102.226886
6875.25024,53.2268187,102.22201059999999
6875.98148,57.0305514,102.1938203
6876.72831,60.8341516,102.14719199999999
6877.4849,64.637508,102.08592449999999
6878.24562,68.4405264,102.01304859999999
6879.00509,72.24312520000001,101.9310398
6879.758140000001,76.0452327,101.8419706
6880.49991,79.8467846,101.7476231
6881.225850000001,83.647723,101.64957319999999
6881.93179,87.4479944,101.54925829999999
6882.61405,91.2475492,101.4480335
6883.269560000001,95.0463406,101.3472206
6883.89593,98.8443255,101.2481548
6887.80038,131.8584598,-41.847339999999996
6888.106070000001,135.6465274,-41.8120907
6888.383,139.4331101,-41.7353366
6888.63259,143.21798139999999,-41.6037548
6888.85628,147.0007999,-41.3980068
6889.0555,150.7810319,-41.0888527
6889.23176,154.5578061,-40.6298305
6889.38659,158.3296182,-39.942350399999995
6889.52146,162.0936638,-38.8821845
6889.637600000001,165.8441128,-37.1534421
6889.73599,169.5667125,-34.0422207
6889.817400000001,173.2159848,-27.3196241
6889.882259999999,176.55151990000002,-6.1319931
6889.93069,177.4588288,70.46735819999999
6889.962530000001,174.5485825,108.28105719999999
6889.9773700000005,170.9626563,118.05235859999999
6889.97457,167.2592517,122.1008469
6889.95326,163.5172425,124.2287286
6889.91222,159.7578811,125.49393219999999
6889.849929999999,155.9891578,126.30017679999999
6889.764770000001,152.2147155,126.83394469999999
6889.65497,148.4364349,127.1930744
6869.87589,8.142082600000009,137.5447579
6869.71503,4.603229200000001,150.5868318
6869.62661,2.262642900000003,-154.09058779999998
6869.61117,4.252630699999997,-91.1234987
6869.668570000001,7.751542499999999,-76.226354
6869.79803,11.450930200000002,-70.87592939999999
6869.99811,15.205115500000005,-68.24968559999999
6870.26667,18.9815423,-66.7449656
6870.60103,22.769062000000005,-65.80622919999999
6870.99799,26.5628357,-65.1918709
6871.45377,30.360417000000005,-64.780262
6871.96408,34.160427600000006,-64.5035718
6872.52421,37.962024500000005,-64.3209899
6873.129,41.7646565,-64.2064766
6873.773,45.5679424,-64.1426151
6874.45056,49.3716044,-64.11729509999999
6875.15596,53.1754331,-64.1218094
6875.88341,56.9792642,-64.14971489999999
6876.62708,60.7829646,-64.196117
6877.3812800000005,64.5864233,-64.2572053
6878.140469999999,68.389546,-64.3299424
6878.89929,72.192251,-64.41184799999999
6879.65254,75.9944666,-64.5008464
